ExperimentName	DisplayRunNumber	HCPID	Subject	Session	RandomSeed	Group	Display.RefreshRate	triggercode	Allowed	Target	Nontarget	FontStyle	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	MasterList	Procedure[Block]	Stimulus[Block]	BlockNumber	MasterList.Cycle	MasterList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Run2Block1	Run2Block2	Run2Block3	Run2Block4	Run2Block5	Run2Block6	Run2Block7	Run2Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	Trial
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_003_M2.png	2	1	19	MasterList											nontarget	8	Face	2-Back	-4	122201	4	123173	1	972	8	8	-4	124201	4				6																		19											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_006_F3.png	2	1	20	MasterList											lure	8	Face	2-Back	-4	124701	4	125902	0	1201	7	8	-4	126701	4				7																		20											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_004_F2.png	2	1	21	MasterList											nontarget	8	Face	2-Back	-4	127201	4	127990	1	789	8	8	-4	129201	4				8																		21											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_005_M3.png	2	1	22	MasterList											lure	8	Face	2-Back	-4	129701	4	130957	0	1256	7	8	-4	131701	4				9																		22											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	5	TrialsPROC	FC_004_F2.png	2	1	23	MasterList											target	7	Face	2-Back	-4	132201	4	133869	1	1668	7	7	-4	134201	4				10																		23											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	6	Fix15secPROC	?	0	1	24	MasterList																														-4	134701	4															24											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	7	Cue0BackPROC	TO_007_TOOL7_BA.png	3	1	25	MasterList							-5	149700	5																																						25											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_007_TOOL7_BA.png	3	1	26	MasterList											target	7	Tools	0-Back	-5	152200	5	153157	1	957	7	7	-5	154200	5								1														26											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_011_TOOL11_BA.png	3	1	27	MasterList											nontarget	8	Tools	0-Back	-5	154700	5	155349	1	649	8	8	-5	156700	5								2														27											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_010_TOOL10_BA.png	3	1	28	MasterList											nontarget	8	Tools	0-Back	-5	157200	5	158277	1	1077	8	8	-5	159200	5								3														28											
