ExperimentName	DisplayRunNumber	HCPID	Subject	Session	RandomSeed	Group	Display.RefreshRate	triggercode	Allowed	Target	Nontarget	FontStyle	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	MasterList	Procedure[Block]	Stimulus[Block]	BlockNumber	MasterList.Cycle	MasterList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Run3Block1	TargetType	CorrectResponse	StimType	BlockType	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Run3Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	Run3Block3	Run3Block4	Run3Block5	Run3Block6	Run3Block7	Run3Block8	Run4Block1	Run4Block2	Run4Block3	Run4Block4	Run4Block5	Run4Block6	Run4Block7	Run4Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	Trial
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	5	TrialsPROC	TO_054_TOOL54_BA.png	2	1	18	MasterList											nontarget	8	Tools	2-Back	8	68212	-8	69481	1	1269	8	8	7	70211	-7	5																					18											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	5	TrialsPROC	TO_052_TOOL52_BA.png	2	1	19	MasterList											nontarget	8	Tools	2-Back	7	70711	-7	71609	1	898	8	8	7	72711	-7	6																					19											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	5	TrialsPROC	TO_050_TOOL50_BA.png	2	1	20	MasterList											nontarget	8	Tools	2-Back	7	73211	-7	74041	1	830	8	8	7	75211	-7	7																					20											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	5	TrialsPROC	TO_052_TOOL52_BA.png	2	1	21	MasterList											target	7	Tools	2-Back	7	75711	-7	76201	1	490	7	7	7	77711	-7	8																					21											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	5	TrialsPROC	TO_050_TOOL50_BA.png	2	1	22	MasterList											target	7	Tools	2-Back	7	78211	-7	79264	1	1053	7	7	7	80211	-7	9																					22											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	5	TrialsPROC	TO_053_TOOL53_BA.png	2	1	23	MasterList											nontarget	8	Tools	2-Back	7	80711	-7	81585	1	874	8	8	7	82711	-7	10																					23											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	6	Fix15secPROC	?	0	1	24	MasterList																											7	83211	-7																		24											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	7	Cue0BackPROC	FC_056_F28.png	3	1	25	MasterList																														6	98210	-6															25											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	8	TrialsPROC	FC_058_F29.png	3	1	26	MasterList											nontarget	8	Face	0-Back	6	100710	-6	101280	1	570	8	8	6	102710	-6								1														26											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	8	TrialsPROC	FC_055_M28.png	3	1	27	MasterList											nontarget	8	Face	0-Back	6	103210	-6	103864	1	654	8	8	6	105210	-6								2														27											
